artistID,objQID,objLabel,objDesc
14439,Q255406,jazz rap,music genre
14439,Q438503,alternative hip-hop,subgenre of hip-hop music that encompasses a wide range of styles that are not typically identified as mainstream
7636,Q3071,punk rock,genre of rock music
7636,Q10922,hardcore punk,aggressive and fast subgenre of punk rock
7636,Q83270,hard rock,"genre of rock music often characterized by chordal guitar riffs accompanied by root notes on the bass guitar and ""big"" drums"
6462,Q438503,alternative hip-hop,subgenre of hip-hop music that encompasses a wide range of styles that are not typically identified as mainstream
6242,Q3071,punk rock,genre of rock music
6242,Q11366,alternative rock,subgenre of rock music
6242,Q485395,gothic rock,musical subgenre of post-punk and alternative rock
6242,Q598929,post-punk,music genre
1791,Q11366,alternative rock,subgenre of rock music
1791,Q183504,indie rock,"genre of rock music, subgenre of alternative rock"
1791,Q217467,art rock,subgenre of rock music
1791,Q484641,pop rock,music genre
10233,Q131578,J-pop,Japanese popular music genre
10233,Q484641,pop rock,music genre
10233,Q837837,power pop,music genre
15848,Q21092,moombahton,electronic dance music genre
15848,Q227045,zouk,music genre
15848,Q663519,breakbeat,genre of electronic music
15848,Q1191544,kuduro,type of music and dance from Angola
2172,Q241662,groove metal,subgenre of heavy metal
2172,Q483352,thrash metal,subgenre of heavy metal
2172,Q484344,progressive metal,genre of heavy metal music
2172,Q641357,avant-garde metal,subgenre of metal music
2172,Q1076092,technical death metal,sub-genre of death metal
12153,Q38848,heavy metal,"genre of rock music characterized by slack-tuned instruments, and unconventional changes of tonality (key) and time signature (metre)"
12153,Q822914,Christian metal,genre of heavy metal music with Christian themes
16851,Q37073,pop music,genre of popular music
12183,Q186472,folk rock,fusion genre of folk and rock music
11627,Q3071,punk rock,genre of rock music
11627,Q11363,screamo,subgenre of emo
11627,Q41343,post-metal,style of music that is rooted in heavy metal but explores approaches beyond the genre's conventions
11627,Q183862,metalcore,fusion genre of heavy metal and hardcore punk
11627,Q377910,post-hardcore,genre of music
11627,Q720959,sludge metal,subgenre of heavy metal music
8261,Q475221,deathcore,fusion genre that combines metalcore and death metal
15050,Q3071,punk rock,genre of rock music
12247,Q9794,reggae,music genre that originated in Jamaica in the late 1960s
2188,Q3071,punk rock,genre of rock music
17783,Q3071,punk rock,genre of rock music
17783,Q193207,ambient music,music genre
17783,Q209137,post-rock,"subgenre of rock music, often instrumental"
17783,Q213121,new age music,genre of popular music
17783,Q325504,electronic rock,music genre
17783,Q592330,dream pop,music genre
17783,Q1640319,experimental music,music genre
13270,Q9759,blues,music genre
3443,Q11366,alternative rock,subgenre of rock music
3443,Q181861,noise rock,experimental rock music mixed with noise
3443,Q206159,psychedelic rock,genre of rock music
3443,Q659599,art punk,subgenre of punk music
3443,Q1640319,experimental music,music genre
10235,Q37073,pop music,genre of popular music
10235,Q131578,J-pop,Japanese popular music genre
10235,Q608862,anime song,music created for use in Japanese animation series
9574,Q11401,hip-hop,rhythmic music accompanied by rhyming speech
9574,Q850412,contemporary R&B,"popular music genre that combines rhythm and blues with elements of pop, soul, funk, hip-hop, and electronic music"
16088,Q602561,electro swing,music genre
16088,Q663519,breakbeat,genre of electronic music
16088,Q1046801,turntablism,art of manipulating sound using turntables
6120,Q10922,hardcore punk,aggressive and fast subgenre of punk rock
2043,Q9778,electronic music,"music that mainly employs electronic musical instruments, digital instruments and circuitry-based music technology"
2043,Q20502,house music,"electronic dance music genre, that originated in Chicago in the early 1980s"
2043,Q170611,techno,genre of electronic dance music
2043,Q187760,new wave,music genre that encompasses pop-oriented styles from the late 1970s through the 1980s
2043,Q193207,ambient music,music genre
2043,Q341364,acid house,subgenre of house music
2043,Q372103,electronic body music,music genre
2043,Q487965,industrial music,music genre
2043,Q598929,post-punk,music genre
2043,Q1298934,synth-pop,music genre in which the synthesizer is a key instrument
2043,Q1641839,experimental rock,type of music based on rock
2043,Q2187392,alternative dance,dance music genre
10321,Q37073,pop music,genre of popular music
1198,Q3071,punk rock,genre of rock music
1198,Q11366,alternative rock,subgenre of rock music
1198,Q11399,rock music,popular music genre
1198,Q484641,pop rock,music genre
1198,Q487914,pop-punk,rock music fusion genre that combines elements of punk rock with power pop or pop
9125,Q38848,heavy metal,"genre of rock music characterized by slack-tuned instruments, and unconventional changes of tonality (key) and time signature (metre)"
9125,Q57143,power metal,subgenre of heavy metal combining characteristics of traditional metal with speed metal
1501,Q3071,punk rock,genre of rock music
1501,Q11366,alternative rock,subgenre of rock music
1501,Q49451,progressive rock,genre of rock music
1501,Q485395,gothic rock,musical subgenre of post-punk and alternative rock
1501,Q2994332,rock en español,Spanish-language rock
8840,Q183504,indie rock,"genre of rock music, subgenre of alternative rock"
2641,Q438476,alternative country,sub-genre of country music
2641,Q1317816,indie folk,music genre
2641,Q1929352,roots rock,music genre
8548,Q484641,pop rock,music genre
6633,Q753679,gangsta rap,genre of rap music
6633,Q936573,crunk,genre of hip-hop
6633,Q966564,hardcore hip-hop,subgenre of hip-hop
6633,Q1139136,horrorcore,subgenre of hip-hop based in horror-themed lyrical content and imagery
6633,Q1253172,Southern hip-hop,blanket term for a regional genre of American hip-hop music that emerged in the Southern United States
6633,Q2913982,trap music,subgenre of hip-hop
6633,Q3709211,dirty rap,sexually explicit subgenre of hip hop
6633,Q6010117,Memphis rap,"genre of hip-hop that originated from Memphis, Tennessee, USA"
6633,Q8560269,dirty south,music genre
5239,Q11366,alternative rock,subgenre of rock music
5239,Q54365,ska,music genre from Jamaica in the 1950s
5239,Q202930,reggaeton,music genre
5239,Q205049,world music,"umbrella term for traditional, indigenous, popular or art music, not following North American or British popular and folk traditions"
5239,Q438503,alternative hip-hop,subgenre of hip-hop music that encompasses a wide range of styles that are not typically identified as mainstream
5239,Q547137,Latin pop,upbeat Latin music mixed with American pop music
5239,Q877693,rap rock,cross-genre fusing vocal and instrumental elements of hip-hop with various forms of rock
5239,Q1640319,experimental music,music genre
5239,Q3827483,Latin hip-hop,recorded by Latin American artists
5239,Q4736555,alternative reggaeton,subgenre of reggaeton
4690,Q38848,heavy metal,"genre of rock music characterized by slack-tuned instruments, and unconventional changes of tonality (key) and time signature (metre)"
4690,Q49451,progressive rock,genre of rock music
4690,Q178145,gothic metal,genre of heavy metal music
4690,Q186170,doom metal,subgenre of heavy metal music
4690,Q217467,art rock,subgenre of rock music
4690,Q483251,death metal,extreme subgenre of heavy metal music
4690,Q484344,progressive metal,genre of heavy metal music
4690,Q485395,gothic rock,musical subgenre of post-punk and alternative rock
4690,Q641357,avant-garde metal,subgenre of metal music
6466,Q105527,jazz fusion,"music genre that developed in the late 1960s when musicians combined jazz harmony and improvisation with rock music, funk, and rhythm and blues"
6466,Q1299260,roots reggae,subgenre of reggae
5414,Q842324,indie pop,genre of pop music within independent music movement
9601,Q9794,reggae,music genre that originated in Jamaica in the late 1960s
9601,Q54365,ska,music genre from Jamaica in the 1950s
9601,Q157443,comedy film,genre of film in which the main emphasis is on humour
9601,Q573484,rocksteady,music genre that originated in Jamaica around 1966
14206,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
14206,Q1541229,American folk music,group of folk music genres from the United States
14206,Q1641839,experimental rock,type of music based on rock
13601,Q11399,rock music,popular music genre
13601,Q37073,pop music,genre of popular music
13601,Q6496560,Latin ballad,music genre
2293,Q9730,classical music,broad tradition of Western art music
18002,Q484641,pop rock,music genre
18002,Q837837,power pop,music genre
7144,Q11366,alternative rock,subgenre of rock music
7144,Q1190565,jangle pop,music genre
4099,Q10922,hardcore punk,aggressive and fast subgenre of punk rock
4099,Q720959,sludge metal,subgenre of heavy metal music
4099,Q1772422,stoner metal,subgenre of metal evolved from stoner rock
4099,Q56353998,Southern metal,metal genre
1655,Q11365,grunge,genre of rock music
1655,Q11366,alternative rock,subgenre of rock music
1655,Q83270,hard rock,"genre of rock music often characterized by chordal guitar riffs accompanied by root notes on the bass guitar and ""big"" drums"
1655,Q379671,post-grunge,music genre
8472,Q255406,jazz rap,music genre
8472,Q429264,West Coast hip-hop,regional genre of hip-hop music that encompasses any artists or music that originated in the West Coast of the United States
8472,Q438503,alternative hip-hop,subgenre of hip-hop music that encompasses a wide range of styles that are not typically identified as mainstream
8472,Q487965,industrial music,music genre
8472,Q966564,hardcore hip-hop,subgenre of hip-hop
8472,Q1139136,horrorcore,subgenre of hip-hop based in horror-themed lyrical content and imagery
8472,Q2106887,psychedelic hip-hop,subgenre of hip-hop
8472,Q5421158,experimental hip-hop,subgenre of hip-hop
8472,Q98528482,abstract hip-hop,subgenre of hip-hop
8472,Q121667432,psychedelic rap,music genre
10556,Q438503,alternative hip-hop,subgenre of hip-hop music that encompasses a wide range of styles that are not typically identified as mainstream
10556,Q965635,underground hip-hop,umbrella term for hip-hop music that is outside the general commercial canon
10556,Q5421158,experimental hip-hop,subgenre of hip-hop
10915,Q8341,jazz,musical style and genre
8361,Q484641,pop rock,music genre
8361,Q487914,pop-punk,rock music fusion genre that combines elements of punk rock with power pop or pop
8361,Q753520,Christian rock,rock music with lyrics related to Jesus and Christianity
5902,Q49451,progressive rock,genre of rock music
5902,Q83270,hard rock,"genre of rock music often characterized by chordal guitar riffs accompanied by root notes on the bass guitar and ""big"" drums"
5902,Q206159,psychedelic rock,genre of rock music
3335,Q3071,punk rock,genre of rock music
3335,Q10926,emo,"derivative of post hardcore rock music with emotional, introspective lyrics"
3335,Q183504,indie rock,"genre of rock music, subgenre of alternative rock"
3335,Q377910,post-hardcore,genre of music
7114,Q1621467,symphonic black metal,subgenre of black metal
18576,Q3071,punk rock,genre of rock music
18576,Q10922,hardcore punk,aggressive and fast subgenre of punk rock
18576,Q11399,rock music,popular music genre
18576,Q20378,alternative metal,music subgenre of heavy metal and alternative rock
18576,Q38848,heavy metal,"genre of rock music characterized by slack-tuned instruments, and unconventional changes of tonality (key) and time signature (metre)"
18576,Q83270,hard rock,"genre of rock music often characterized by chordal guitar riffs accompanied by root notes on the bass guitar and ""big"" drums"
18576,Q183862,metalcore,fusion genre of heavy metal and hardcore punk
18576,Q241662,groove metal,subgenre of heavy metal
18576,Q263734,nu metal,musical subgenre of alternative metal
15061,Q9778,electronic music,"music that mainly employs electronic musical instruments, digital instruments and circuitry-based music technology"
15061,Q20502,house music,"electronic dance music genre, that originated in Chicago in the early 1980s"
15061,Q203775,swing music,style of jazz
15061,Q602561,electro swing,music genre
938,Q38848,heavy metal,"genre of rock music characterized by slack-tuned instruments, and unconventional changes of tonality (key) and time signature (metre)"
938,Q57143,power metal,subgenre of heavy metal combining characteristics of traditional metal with speed metal
938,Q211723,speed metal,sub-genre of heavy metal music
3686,Q9778,electronic music,"music that mainly employs electronic musical instruments, digital instruments and circuitry-based music technology"
3686,Q206159,psychedelic rock,genre of rock music
3686,Q272167,shoegaze,"indie/alternative rock subgenre characterized by an ethereal mixture of obscured vocals, guitar distortion and effects, feedback, and overwhelming volume"
3686,Q383982,psychedelic pop,subgenre of pop music
3686,Q592330,dream pop,music genre
3686,Q660984,intelligent dance music,style of electronic dance music
3686,Q703778,neo-psychedelia,music genre
3686,Q817138,electronica,broad group of electronic-based music genres
3686,Q851213,electronic dance music,broad genre of electronic music
3686,Q874038,deep house,subgenre of house music that originated in the 1980s
3686,Q1435509,folktronica,"genre of electronic music which incorporates the sounds of acoustic instrumentation, with elements of folk music, commonly blended with sound of IDM and glitch-inspired editing and manipulation, as well as the tempo and atmosphere of downtempo"
3686,Q2545135,noise pop,music genre
9187,Q484641,pop rock,music genre
9187,Q842324,indie pop,genre of pop music within independent music movement
9187,Q1339121,contemporary worship music,music genre
9187,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
5544,Q842324,indie pop,genre of pop music within independent music movement
9191,Q180268,gospel music,genre of music emphasizing Christian lyrics
6712,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
14452,Q1413061,tropicália,Brazilian music genre and cultural movement
9174,Q6010,rapping,"artistic form of vocal delivery and emotive expression that incorporates ""rhyme, rhythmic speech, and [commonly] street vernacular"""
9282,Q180268,gospel music,genre of music emphasizing Christian lyrics
6535,Q3071,punk rock,genre of rock music
16042,Q3071,punk rock,genre of rock music
12167,Q11366,alternative rock,subgenre of rock music
4465,Q1958273,sertanejo,music genre that had its origins in the countryside of Brazil in the 1920s
6715,Q180268,gospel music,genre of music emphasizing Christian lyrics
242,Q6010,rapping,"artistic form of vocal delivery and emotive expression that incorporates ""rhyme, rhythmic speech, and [commonly] street vernacular"""
15099,Q7749,rock and roll,"genre of popular music, early subgenre of rock music"
5641,Q183862,metalcore,fusion genre of heavy metal and hardcore punk
7252,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
8732,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
7812,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
15473,Q37073,pop music,genre of popular music
14569,Q37073,pop music,genre of popular music
14569,Q49451,progressive rock,genre of rock music
14569,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
4828,Q11366,alternative rock,subgenre of rock music
4459,Q3071,punk rock,genre of rock music
13938,Q7749,rock and roll,"genre of popular music, early subgenre of rock music"
14589,Q11366,alternative rock,subgenre of rock music
13553,Q16610474,Contemporary Catholic liturgical music,encompasses a comprehensive variety of styles of music for Catholic liturgy that grew both before and after the reforms of the Second Vatican Council
7706,Q1931130,funk carioca,music genre originating from Rio de Janeiro
17817,Q10922,hardcore punk,aggressive and fast subgenre of punk rock
5642,Q3071,punk rock,genre of rock music
10994,Q7749,rock and roll,"genre of popular music, early subgenre of rock music"
4801,Q2631396,Brazilian rock,rock music made in or associated with Brazil
15196,Q10283582,electronic forró,musical genre
6792,Q542703,melodic hardcore,subgenre of hardcore punk
18265,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
2987,Q10926,emo,"derivative of post hardcore rock music with emotional, introspective lyrics"
7086,Q10926,emo,"derivative of post hardcore rock music with emotional, introspective lyrics"
7086,Q484641,pop rock,music genre
13059,Q2631396,Brazilian rock,rock music made in or associated with Brazil
3401,Q484641,pop rock,music genre
4461,Q3360459,pagode,"Brazilian music genre, subgenre of samba"
4849,Q11366,alternative rock,subgenre of rock music
3396,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
7094,Q1435485,axé,"music genre originated in Salvador, Bahia, Brazil"
15427,Q11366,alternative rock,subgenre of rock music
3378,Q1958273,sertanejo,music genre that had its origins in the countryside of Brazil in the 1920s
7499,Q37073,pop music,genre of popular music
15225,Q10370558,sertanejo universitário,music genre
13939,Q7749,rock and roll,"genre of popular music, early subgenre of rock music"
6253,Q7749,rock and roll,"genre of popular music, early subgenre of rock music"
9197,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
15932,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
14724,Q484641,pop rock,music genre
5974,Q37073,pop music,genre of popular music
14568,Q10283582,electronic forró,musical genre
14629,Q484641,pop rock,music genre
12952,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
12957,Q11366,alternative rock,subgenre of rock music
9195,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
13838,Q37073,pop music,genre of popular music
18574,Q20378,alternative metal,music subgenre of heavy metal and alternative rock
5102,Q38848,heavy metal,"genre of rock music characterized by slack-tuned instruments, and unconventional changes of tonality (key) and time signature (metre)"
17813,Q483251,death metal,extreme subgenre of heavy metal music
9249,Q37073,pop music,genre of popular music
14578,Q37073,pop music,genre of popular music
14562,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
3125,Q11399,rock music,popular music genre
14043,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
5431,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
14590,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
422,Q11366,alternative rock,subgenre of rock music
13717,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
452,Q1759189,mangue bit,cultural movement created circa 1991 in the city of Recife in Northeast Brazil
15224,Q10370558,sertanejo universitário,music genre
7794,Q49451,progressive rock,genre of rock music
14575,Q1958273,sertanejo,music genre that had its origins in the countryside of Brazil in the 1920s
13940,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
13942,Q25419286,Gaúcho rock,Brazilian music genre; term used to describe a rock sound from Rio Grande do Sul
7819,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
8724,Q1339121,contemporary worship music,music genre
8724,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
6538,Q856872,rap metal,cross-genre fusing vocal and instrumental elements of hip-hop with various forms of metal
438,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
12154,Q203720,rockabilly,early style of rock and roll music
14341,Q484641,pop rock,music genre
13283,Q25448883,pagode baiano,Brazilian musical genre
4799,Q1650296,instrumental rock,type of rock music
16769,Q8341,jazz,musical style and genre
16769,Q486263,bossa nova,style of Brazilian music
7249,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
7806,Q11399,rock music,popular music genre
6470,Q9794,reggae,music genre that originated in Jamaica in the late 1960s
15998,Q3071,punk rock,genre of rock music
3746,Q9794,reggae,music genre that originated in Jamaica in the late 1960s
1558,Q2238236,Christian hip-hop,cross-genre of contemporary Christian music and hip-hop music
8725,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
12031,Q11399,rock music,popular music genre
15152,Q1379958,contemporary Christian music,genre of modern popular music lyrically focused on matters concerned with the Christian faith
7334,Q2280273,mod revival,music genre; rebirth of the mod subculture in the late 1970s
7833,Q484641,pop rock,music genre
9185,Q753520,Christian rock,rock music with lyrics related to Jesus and Christianity
15523,Q10922,hardcore punk,aggressive and fast subgenre of punk rock
7195,Q1046768,música popular brasileira,trend in post-bossa nova urban popular music in Brazil
13883,Q617240,stoner rock,music sub genre of metal
4838,Q10922,hardcore punk,aggressive and fast subgenre of punk rock
10993,Q7749,rock and roll,"genre of popular music, early subgenre of rock music"
2986,Q753520,Christian rock,rock music with lyrics related to Jesus and Christianity
17094,Q25377002,hidden object game,video game genre
15094,Q105012442,technology podcast,podcast which devote significant coverage to technology-related news and recent events
15094,Q106393006,interview podcast,podcast genre
15094,Q106625351,society and culture podcast,podcast genre
4991,Q185676,fado,Portuguese music genre
4991,Q502535,morna,musical practice of Cabo Verde
4991,Q1692318,modinha,Portuguese and Brazilian musical genre
8837,Q8341,jazz,musical style and genre
8837,Q105513,bebop,style of jazz
93,Q193207,ambient music,music genre
2419,Q8341,jazz,musical style and genre
2419,Q9759,blues,music genre
2419,Q182659,ballad,short narrative poem which is written to be sung and has a simple but dramatic theme
2419,Q203775,swing music,style of jazz
2419,Q1530455,vocal jazz,"instrumental approach to the voice, where the singer can match the instruments in their stylistic approach to the lyrics, improvised or otherwise, or through scat singing"
2419,Q1684520,jazz blues,music genre
10628,Q37073,pop music,genre of popular music
10628,Q207378,big band,type of music ensemble associated with jazz and Swing Era music
10628,Q1196752,traditional pop,Western popular music that generally predates the advent of rock and roll in the mid-1950s
1456,Q11401,hip-hop,rhythmic music accompanied by rhyming speech
1456,Q601235,hip house,musical genre that mixes elements of house music and hip hop music
1456,Q784310,electro hop,"genre of electronic pop music that features rapping, which emerged and became popular in the mid-2000s under the influence of electropop, electro house and pop rap"
1456,Q1298934,synth-pop,music genre in which the synthesizer is a key instrument
7111,Q1344,opera,artform combining sung text and musical score in a theatrical setting
7111,Q9730,classical music,broad tradition of Western art music
7111,Q207591,Romantic music,music of the Romantic period
10871,Q454071,German hip-hop,music genre or scene
6140,Q11399,rock music,popular music genre
6140,Q37073,pop music,genre of popular music
6140,Q43343,folk music,"music meta-genre encompassing traditional folk music, contemporary folk music (evolved from the former during the 20th-century folk revival), and derivatives of these two branches"
6140,Q83440,country music,genre of American popular music
6140,Q186472,folk rock,fusion genre of folk and rock music
6140,Q235858,traditional folk music,"local or regional traditional music that was originally produced in performance and transmitted in community conditions, as well as music written stylistically and/or ideologically within these traditions"
6140,Q11700058,folk-pop,music genre
11477,Q8341,jazz,musical style and genre
11477,Q9730,classical music,broad tradition of Western art music
11477,Q38656,jazz-funk,subgenre of jazz music
11477,Q45981,rhythm and blues,genre of popular music that originated within African-American communities in the 1940s
11477,Q105513,bebop,style of jazz
11477,Q105527,jazz fusion,"music genre that developed in the late 1960s when musicians combined jazz harmony and improvisation with rock music, funk, and rhythm and blues"
11477,Q164444,funk,"music genre that emerged in the 1960s, blending soul, jazz, and R&B, known for its syncopated basslines, groovy rhythms, and danceable energy"
11477,Q181010,hard bop,"subgenre of jazz that is an extension of bebop (or ""bop"") music"
11477,Q217597,electro,"genre of electronic dance music that originated in the 1980s, characterized by the use of synthesizers, drum machines, and minimalistic, mechanical rhythms"
11477,Q484641,pop rock,music genre
11477,Q1092837,post-bop,genre of small-combo jazz
11477,Q1127530,modal jazz,sub-genre of jazz
4920,Q492264,film score,"original music written specifically to accompany a film, part of the film's soundtrack"
962,Q11366,alternative rock,subgenre of rock music
962,Q11399,rock music,popular music genre
962,Q183504,indie rock,"genre of rock music, subgenre of alternative rock"
962,Q484641,pop rock,music genre
962,Q837837,power pop,music genre
96,Q9759,blues,music genre
96,Q11399,rock music,popular music genre
96,Q37073,pop music,genre of popular music
96,Q83270,hard rock,"genre of rock music often characterized by chordal guitar riffs accompanied by root notes on the bass guitar and ""big"" drums"
96,Q193355,blues rock,music genre combining elements of blues and rock
96,Q484641,pop rock,music genre
96,Q1650296,instrumental rock,type of rock music
16582,Q6010,rapping,"artistic form of vocal delivery and emotive expression that incorporates ""rhyme, rhythmic speech, and [commonly] street vernacular"""
10440,Q37073,pop music,genre of popular music
10440,Q58339,disco,genre of dance music and a subculture that emerged in the 1970s from the United States' urban nightlife scene
3012,Q8341,jazz,musical style and genre
3012,Q203775,swing music,style of jazz
3012,Q207378,big band,type of music ensemble associated with jazz and Swing Era music
10242,Q131578,J-pop,Japanese popular music genre
10242,Q170435,trance,genre of electronic dance music
10242,Q170611,techno,genre of electronic dance music
10941,Q209137,post-rock,"subgenre of rock music, often instrumental"
10941,Q325504,electronic rock,music genre
10624,Q1196752,traditional pop,Western popular music that generally predates the advent of rock and roll in the mid-1950s
9107,Q131578,J-pop,Japanese popular music genre
12190,Q131578,J-pop,Japanese popular music genre
12190,Q193355,blues rock,music genre combining elements of blues and rock
12190,Q484641,pop rock,music genre
4175,Q2238236,Christian hip-hop,cross-genre of contemporary Christian music and hip-hop music
4175,Q2572585,pop rap,genre of music which combines hip-hop music with elements of pop music
17618,Q145806,stand-up comedy,comedy style where the performer addresses the audience directly
18585,Q131578,J-pop,Japanese popular music genre
18585,Q1207347,Shibuya-kei,musical genre originating from Japan
18585,Q1298934,synth-pop,music genre in which the synthesizer is a key instrument
2095,Q131578,J-pop,Japanese popular music genre
2095,Q211756,dance-pop,dance-oriented pop music
2095,Q817138,electronica,broad group of electronic-based music genres
2095,Q1298934,synth-pop,music genre in which the synthesizer is a key instrument
1355,Q483352,thrash metal,subgenre of heavy metal
1355,Q1133657,traditional heavy metal,genre of metal music
3927,Q11366,alternative rock,subgenre of rock music
3927,Q20378,alternative metal,music subgenre of heavy metal and alternative rock
3927,Q379671,post-grunge,music genre
3927,Q753520,Christian rock,rock music with lyrics related to Jesus and Christianity
3927,Q1339121,contemporary worship music,music genre
8026,Q9778,electronic music,"music that mainly employs electronic musical instruments, digital instruments and circuitry-based music technology"
8026,Q209137,post-rock,"subgenre of rock music, often instrumental"
8026,Q726239,noise music,music genre
8026,Q915152,progressive house,subgenre of house music
8026,Q1640319,experimental music,music genre
13916,Q58339,disco,genre of dance music and a subculture that emerged in the 1970s from the United States' urban nightlife scene
13916,Q164444,funk,"music genre that emerged in the 1960s, blending soul, jazz, and R&B, known for its syncopated basslines, groovy rhythms, and danceable energy"
13916,Q221772,acid jazz,"genre of music, mixing elements of funk, soul, jazz and electronic music"
1557,Q475221,deathcore,fusion genre that combines metalcore and death metal
4159,Q132438,black metal,subgenre of heavy metal music
4159,Q213149,viking metal,subgenre of heavy metal
